"model_name","orthogonalize","target_true","target_false","other","target_true_std","target_false_std","other_std","total","target_true_perc","target_false_perc","other_perc","target_true_std_perc","target_false_std_perc","other_std_perc"
"gpt2","False",413,9547,40,0,0,0,10000,4.13,95.47,0.4,0,0,0
"gpt2-medium","False",431,9531,38,0,0,0,10000,4.31,95.31,0.38,0,0,0
"gpt2-large","False",1020,8959,21,0,0,0,10000,10.2,89.59,0.21,0,0,0
"gpt2-xl","False",726,9246,28,0,0,0,10000,7.26,92.46,0.28,0,0,0
"gpt2","True",500.52,8859.02,540.46,53.7396464446876,890.860112251069,58.4189044744935,9900,5.05575757575758,89.4850505050505,5.45919191919192,0.542824711562501,8.99858699243504,0.590089944186803
"gpt2-medium","True",861.34,8330.7,707.96,90.6280552588438,837.947020998341,75.9073013615948,9900,8.70040404040404,84.1484848484849,7.15111111111111,0.915434901604482,8.46411132321556,0.766740417793886
"gpt2-large","True",1097.16,7885.02,917.82,113.546529669558,793.44580129962,96.7992128067164,9900,11.0824242424242,79.6466666666667,9.27090909090909,1.14693464312685,8.01460405353151,0.977769826330469
"gpt2-xl","True",2256.56,6556.97,1086.47,230.374535051078,660.638970315855,113.585778599259,9900,22.7935353535354,66.2320202020202,10.9744444444444,2.32701550556644,6.67312091228137,1.14733109696221
